Time,PX,PY,PZ,TX,TY,TZ
0.005,4.09,0.00,0.04,1000.00,0.00,0.00
0.010,8.18,0.00,0.09,1000.00,0.00,0.00
0.015,12.25,0.00,0.13,1000.00,0.00,0.00
0.020,16.32,0.00,0.17,1000.00,0.00,0.00
0.025,20.38,0.00,0.21,1000.00,0.00,0.00
0.030,24.44,0.00,0.25,1000.00,0.00,0.00
0.035,28.48,0.00,0.29,1000.00,0.00,0.00
0.040,32.52,0.00,0.33,1000.00,0.00,0.00
0.045,36.55,0.00,0.37,1000.00,0.00,0.00
0.050,40.58,0.00,0.41,1000.00,0.00,0.00
0.055,44.59,0.00,0.45,1000.00,0.00,0.00
0.060,48.60,0.00,0.49,1000.00,0.00,0.00
0.065,52.60,0.00,0.53,1000.00,0.00,0.00
0.070,56.60,0.00,0.57,1000.00,0.00,0.00
0.075,60.58,0.00,0.61,1000.00,0.00,0.00
0.080,64.56,0.00,0.64,1000.00,0.00,0.00
0.085,68.53,0.00,0.68,1000.00,0.00,0.00
0.090,72.50,0.00,0.72,1000.00,0.00,0.00
0.095,76.46,0.00,0.76,1000.00,0.00,0.00
0.100,80.41,0.00,0.79,1000.00,0.00,0.00
0.105,84.35,0.00,0.83,1000.00,0.00,0.00
0.110,88.28,0.00,0.87,1000.00,0.00,0.00
0.115,92.21,0.00,0.90,1000.00,0.00,0.00
0.120,96.13,0.00,0.94,1000.00,0.00,0.00
0.125,100.05,0.00,0.97,1000.00,0.00,0.00
0.130,103.95,0.00,1.01,1000.00,0.00,0.00
0.135,107.85,0.00,1.04,1000.00,0.00,0.00
0.140,111.74,0.00,1.07,1000.00,0.00,0.00
0.145,115.63,0.00,1.11,1000.00,0.00,0.00
0.150,119.51,0.00,1.14,1000.00,0.00,0.00
0.155,123.38,0.00,1.18,1000.00,0.00,0.00
0.160,127.24,0.00,1.21,1000.00,0.00,0.00
0.165,131.10,0.00,1.24,1000.00,0.00,0.00
0.170,134.95,0.00,1.27,1000.00,0.00,0.00
0.175,138.79,0.00,1.30,1000.00,0.00,0.00
0.180,142.63,0.00,1.34,1000.00,0.00,0.00
0.185,146.46,0.00,1.37,1000.00,0.00,0.00
0.190,150.28,0.00,1.40,1000.00,0.00,0.00
0.195,154.10,0.00,1.43,1000.00,0.00,0.00
0.200,157.90,0.00,1.46,1000.00,0.00,0.00
0.205,161.71,0.00,1.49,1000.00,0.00,0.00
0.210,165.50,0.00,1.52,1000.00,0.00,0.00
0.215,169.29,0.00,1.55,1000.00,0.00,0.00
0.220,173.07,0.00,1.58,1000.00,0.00,0.00
0.225,176.84,0.00,1.61,1000.00,0.00,0.00
0.230,180.61,0.00,1.64,1000.00,0.00,0.00
0.235,184.37,0.00,1.67,1000.00,0.00,0.00
0.240,188.13,0.00,1.69,1000.00,0.00,0.00
0.245,191.87,0.00,1.72,1000.00,0.00,0.00
0.250,195.61,0.00,1.75,1000.00,0.00,0.00
0.255,199.35,0.00,1.78,1000.00,0.00,0.00
0.260,203.08,0.00,1.80,1000.00,0.00,0.00
0.265,206.80,0.00,1.83,1000.00,0.00,0.00
0.270,210.51,0.00,1.86,1000.00,0.00,0.00
0.275,214.22,0.00,1.88,1000.00,0.00,0.00
0.280,217.92,0.00,1.91,1000.00,0.00,0.00
0.285,221.61,0.00,1.93,1000.00,0.00,0.00
0.290,225.30,0.00,1.96,1000.00,0.00,0.00
0.295,228.98,0.00,1.98,1000.00,0.00,0.00
0.300,232.66,0.00,2.01,1000.00,0.00,0.00
0.305,236.33,0.00,2.03,1000.00,0.00,0.00
0.310,239.99,0.00,2.06,1000.00,0.00,0.00
0.315,243.64,0.00,2.08,1000.00,0.00,0.00
0.320,247.29,0.00,2.10,1000.00,0.00,0.00
0.325,250.94,0.00,2.13,1000.00,0.00,0.00
0.330,254.57,0.00,2.15,1000.00,0.00,0.00
0.335,258.20,0.00,2.17,1000.00,0.00,0.00
0.340,261.83,0.00,2.19,1000.00,0.00,0.00
0.345,265.44,0.00,2.22,1000.00,0.00,0.00
0.350,269.05,0.00,2.24,1000.00,0.00,0.00
0.355,272.66,0.00,2.26,1000.00,0.00,0.00
0.360,276.26,0.00,2.28,1000.00,0.00,0.00
0.365,279.85,0.00,2.30,1000.00,0.00,0.00
0.370,283.44,0.00,2.32,1000.00,0.00,0.00
0.375,287.02,0.00,2.34,1000.00,0.00,0.00
0.380,290.59,0.00,2.36,1000.00,0.00,0.00
0.385,294.16,0.00,2.38,1000.00,0.00,0.00
0.390,297.72,0.00,2.40,1000.00,0.00,0.00
0.395,301.27,0.00,2.42,1000.00,0.00,0.00
0.400,304.82,0.00,2.44,1000.00,0.00,0.00
0.405,308.37,0.00,2.46,1000.00,0.00,0.00
0.410,311.90,0.00,2.48,1000.00,0.00,0.00
0.415,315.43,0.00,2.50,1000.00,0.00,0.00
0.420,318.96,0.00,2.51,1000.00,0.00,0.00
0.425,322.48,0.00,2.53,1000.00,0.00,0.00
