Time,PX,PY,PZ,TX,TY,TZ,AltP
0.005,0.4,-0.0,4.1,1000.0,0.0,0.0,0.0
0.010,0.8,-0.0,8.1,1000.0,0.0,0.0,4.0
0.015,1.2,-0.0,12.2,1000.0,0.0,0.0,8.0
0.020,1.6,-0.0,16.2,1000.0,0.0,0.0,12.0
0.025,2.0,-0.0,20.3,1000.0,0.0,0.0,16.0
0.030,2.4,-0.0,24.3,1000.0,0.0,0.0,20.5
0.035,2.8,-0.0,28.3,1000.0,0.0,0.0,24.5
0.040,3.2,-0.1,32.4,1000.0,0.0,0.0,28.5
0.045,3.6,-0.1,36.4,1000.0,0.0,0.0,32.5
0.050,4.0,-0.1,40.4,1000.0,0.0,0.0,36.5
0.055,4.4,-0.1,44.4,1000.0,0.0,0.0,40.5
0.060,4.8,-0.1,48.3,1000.0,0.0,0.0,44.5
0.065,5.2,-0.1,52.3,1000.0,0.0,0.0,48.5
0.070,5.6,-0.1,56.3,1000.0,0.0,0.0,52.5
0.075,6.0,-0.1,60.3,1000.0,0.0,0.0,56.5
0.080,6.4,-0.1,64.2,1000.0,0.0,0.0,60.5
0.085,6.8,-0.1,68.2,1000.0,0.0,0.0,64.0
0.090,7.2,-0.1,72.1,1000.0,0.0,0.0,68.0
0.095,7.6,-0.1,76.0,1000.0,0.0,0.0,72.0
0.100,8.0,-0.1,80.0,1000.0,0.0,0.0,76.0
0.105,8.4,-0.1,83.9,1000.0,0.0,0.0,80.0
0.110,8.8,-0.1,87.8,1000.0,0.0,0.0,84.0
0.115,9.2,-0.1,91.7,1000.0,0.0,0.0,88.0
0.120,9.6,-0.2,95.6,1000.0,0.0,0.0,91.5
0.125,10.0,-0.2,99.5,1000.0,0.0,0.0,95.5
0.130,10.4,-0.2,103.4,1000.0,0.0,0.0,99.5
0.135,10.8,-0.2,107.2,1000.0,0.0,0.0,103.5
0.140,11.1,-0.2,111.1,1000.0,0.0,0.0,107.0
0.145,11.5,-0.2,115.0,1000.0,0.0,0.0,111.0
0.150,11.9,-0.2,118.8,1000.0,0.0,0.0,115.0
0.155,12.3,-0.2,122.7,1000.0,0.0,0.0,119.0
0.160,12.7,-0.2,126.5,1000.0,0.0,0.0,122.5
0.165,13.1,-0.2,130.3,1000.0,0.0,0.0,126.5
0.170,13.5,-0.2,134.2,1000.0,0.0,0.0,130.5
0.175,13.8,-0.2,138.0,1000.0,0.0,0.0,134.0
0.180,14.2,-0.2,141.8,1000.0,0.0,0.0,138.0
0.185,14.6,-0.2,145.6,1000.0,0.0,0.0,142.0
0.190,15.0,-0.2,149.4,1000.0,0.0,0.0,145.5
0.195,15.4,-0.2,153.2,1000.0,0.0,0.0,149.5
0.200,15.7,-0.2,157.0,1000.0,0.0,0.0,153.0
0.205,16.1,-0.3,160.7,1000.0,0.0,0.0,157.0
0.210,16.5,-0.3,164.5,1000.0,0.0,0.0,160.5
0.215,16.9,-0.3,168.3,1000.0,0.0,0.0,164.5
0.220,17.3,-0.3,172.0,1000.0,0.0,0.0,168.5
0.225,17.6,-0.3,175.8,1000.0,0.0,0.0,172.0
0.230,18.0,-0.3,179.5,1000.0,0.0,0.0,176.0
0.235,18.4,-0.3,183.2,1000.0,0.0,0.0,179.5
0.240,18.8,-0.3,187.0,1000.0,0.0,0.0,183.0
0.245,19.1,-0.3,190.7,1000.0,0.0,0.0,187.0
0.250,19.5,-0.3,194.4,1000.0,0.0,0.0,190.5
0.255,19.9,-0.3,198.1,1000.0,0.0,0.0,194.5
0.260,20.3,-0.3,201.8,1000.0,0.0,0.0,198.0
0.265,20.6,-0.3,205.5,1000.0,0.0,0.0,202.0
